category,title,price,link
Applicator,Lil-Lets Cardboard Applicator Tampons Super,£1.00,https://groceries.morrisons.com/products/lil-lets-cardboard-applicator-tampons-super/114050760
Applicator,Lil-Lets Cardboard Applicator Tampons Regular,£1.00,https://groceries.morrisons.com/products/lil-lets-cardboard-applicator-tampons-regular/114050840
Applicator,Tampax Compak Super Plus Tampons with Applicator 18 pack,£2.50,https://groceries.morrisons.com/products/tampax-compak-super-plus-tampons-with-applicator-18-pack/109671609
Applicator,Tampax Super Plus Tampons with Cardboard Applicator 20 pack,£2.00,https://groceries.morrisons.com/products/tampax-super-plus-tampons-with-cardboard-applicator-20-pack/105423464
Applicator,Tampax Regular Tampons with Cardboard Applicator 20 pack,£2.00,https://groceries.morrisons.com/products/tampax-regular-tampons-with-cardboard-applicator-20-pack/105423392
Applicator,Tampax Compak Super Tampons with Applicator 18 pack,£2.50,https://groceries.morrisons.com/products/tampax-compak-super-tampons-with-applicator-18-pack/109671668
Applicator,Tampax Compak Regular Tampons with Applicator 18 pack,£2.50,https://groceries.morrisons.com/products/tampax-compak-regular-tampons-with-applicator-18-pack/109671633
Maxi,Lil-Lets Teens Night Pads With Wings,£1.25,https://groceries.morrisons.com/products/lil-lets-teens-night-pads-with-wings/112866466
Maxi,Always Maxi Long (Size2) Sanitary Towels Wings 12 pads,£2.40,https://groceries.morrisons.com/products/always-maxi-long-size2-sanitary-towels-wings-12-pads/110490821
Maxi,Totm Organic Cotton Medium Flow Pads,£3.35,https://groceries.morrisons.com/products/totm-organic-cotton-medium-flow-pads/112252368
Maxi,Totm Organic Cotton Super Flow Pads,£3.35,https://groceries.morrisons.com/products/totm-organic-cotton-super-flow-pads/112252421
Maxi,Morrisons Normal Ultra Towels with Wings,£0.42,https://groceries.morrisons.com/products/morrisons-normal-ultra-towels-with-wings/105557737
Maxi,Morrisons Normal Ultra Towels without Wings,£0.42,https://groceries.morrisons.com/products/morrisons-normal-ultra-towels-without-wings/105555598
Incontinence,Always Discreet Incontinence Pads Normal For Sensitive Bladder 24 pack,£5.00,https://groceries.morrisons.com/products/always-discreet-incontinence-pads-normal-for-sensitive-bladder-24-pack/107331011
Incontinence,Femfresh 0% Wash,£2.75,https://groceries.morrisons.com/products/femfresh-0-wash/110470089
Incontinence,Morrisons Incontinence Comfort Maxi Night Pads,£1.30,https://groceries.morrisons.com/products/morrisons-incontinence-comfort-maxi-night-pads/108593101
Incontinence,Always Discreet Incontinence Liners Normal For Sensitive Bladder 24 pack,£2.25,https://groceries.morrisons.com/products/always-discreet-incontinence-liners-normal-for-sensitive-bladder-24-pack/106852607
Incontinence,Always Discreet Incontinence Liners Long For Sensitive Bladder 20 pack,£2.25,https://groceries.morrisons.com/products/always-discreet-incontinence-liners-long-for-sensitive-bladder-20-pack/107328954
Non Applicator,Lil-Lets Smartfit 10 Non-Applicator Tampons Ultra,£2.20,https://groceries.morrisons.com/products/lil-lets-smartfit-10-non-applicator-tampons-ultra/111841179
Non Applicator,Lil-lets Super Plus Extra Tampons,£2.20,https://groceries.morrisons.com/products/lil-lets-super-plus-extra-tampons/100703281
Non Applicator,Lil-lets Super Tampons,£2.20,https://groceries.morrisons.com/products/lil-lets-super-tampons/100703264
Non Applicator,Lil-lets Regular Tampons,£2.20,https://groceries.morrisons.com/products/lil-lets-regular-tampons/100703256
Non Applicator,Lil-lets Super Plus Tampons,£2.20,https://groceries.morrisons.com/products/lil-lets-super-plus-tampons/100703272
Non Applicator,Morrisons Tampons Non-Applicator Regular,£1.25,https://groceries.morrisons.com/products/morrisons-tampons-non-applicator-regular/105556945
Non Applicator,Morrisons Non-applicator Tampons Super,£1.25,https://groceries.morrisons.com/products/morrisons-non-applicator-tampons-super/105555475
Non Applicator,Morrisons Tampons Non-Applicator Super Plus,£1.25,https://groceries.morrisons.com/products/morrisons-tampons-non-applicator-super-plus/105557059
Baby & Toddler,Always Infinity Night (Size 3) Sanitary Towels Wings,£3.40,https://groceries.morrisons.com/products/always-infinity-night-size-3-sanitary-towels-wings/106969434
Baby & Toddler,Lil-Lets Maternity 10 Maxi Pads With Wings,£2.00,https://groceries.morrisons.com/products/lil-lets-maternity-10-maxi-pads-with-wings/110894068
Baby & Toddler,Lil-Lets Maternity Ultra Pads With Wings,£2.00,https://groceries.morrisons.com/products/lil-lets-maternity-ultra-pads-with-wings/111868195
Moist Toilet Tissue,Andrex Ulitmate Fresh Moist Toilet Tissue Hygiene Wipes,£1.25,https://groceries.morrisons.com/products/andrex-ulitmate-fresh-moist-toilet-tissue-hygiene-wipes/109058791
Moist Toilet Tissue,Andrex Ultimate Fresh Moist Toilet Tissue Hygiene Wipes 4 x 30,£5.00,https://groceries.morrisons.com/products/andrex-ultimate-fresh-moist-toilet-tissue-hygiene-wipes-4-x-30/112186823
Moist Toilet Tissue,Andrex Fresh & Sensitive Hygiene Wipes Quad,£3.75,https://groceries.morrisons.com/products/andrex-fresh-sensitive-hygiene-wipes-quad/113970311
Moist Toilet Tissue,Andrex Fresh & Sensitive Hygiene Wipes,£1.00,https://groceries.morrisons.com/products/andrex-fresh-sensitive-hygiene-wipes/113970345
Moist Toilet Tissue,Andrex Fresh & Soothe Moist Toilet Tissue Flushable Hygeiene Wipes,£1.50,https://groceries.morrisons.com/products/andrex-fresh-soothe-moist-toilet-tissue-flushable-hygeiene-wipes/109058601
Donate to Charity,Donate £5 To Support A Food Bank With Morrisons,£5.00,https://groceries.morrisons.com/products/donate-5-to-support-a-food-bank-with-morrisons/111171099
Donate to Charity,Donate £3 To Support A Food Bank With Morrisons,£3.00,https://groceries.morrisons.com/products/donate-3-to-support-a-food-bank-with-morrisons/111171072
Donate to Charity,Donate £1 To Support A Food Bank With Morrisons,£1.00,https://groceries.morrisons.com/products/donate-1-to-support-a-food-bank-with-morrisons/112963813
Donate to Charity,Donate £10 To Support A Food Bank With Morrisons,£10.00,https://groceries.morrisons.com/products/donate-10-to-support-a-food-bank-with-morrisons/111171110
Big Packs,Always Dailies Large Profresh Panty Liners,£3.40,https://groceries.morrisons.com/products/always-dailies-large-profresh-panty-liners/111683060
Holiday Shop,Tampax Compak Applicator Tampons Lite,£2.50,https://groceries.morrisons.com/products/tampax-compak-applicator-tampons-lite/113743177
